date,location,new_cases,new_deaths,total_cases,total_deaths
12/31/19,Afghanistan,0,0,0,0
1/1/20,Afghanistan,0,0,0,0
1/2/20,Afghanistan,0,0,0,0
1/3/20,Afghanistan,0,0,0,0
1/4/20,Afghanistan,0,0,0,0
1/5/20,Afghanistan,0,0,0,0
1/6/20,Afghanistan,0,0,0,0
1/7/20,Afghanistan,0,0,0,0
1/8/20,Afghanistan,0,0,0,0
1/9/20,Afghanistan,0,0,0,0
1/10/20,Afghanistan,0,0,0,0
1/11/20,Afghanistan,0,0,0,0
1/12/20,Afghanistan,0,0,0,0
1/13/20,Afghanistan,0,0,0,0
1/14/20,Afghanistan,0,0,0,0
1/15/20,Afghanistan,0,0,0,0
1/16/20,Afghanistan,0,0,0,0
1/17/20,Afghanistan,0,0,0,0
1/18/20,Afghanistan,0,0,0,0
1/19/20,Afghanistan,0,0,0,0
1/20/20,Afghanistan,0,0,0,0
1/21/20,Afghanistan,0,0,0,0
1/22/20,Afghanistan,0,0,0,0
1/23/20,Afghanistan,0,0,0,0
1/24/20,Afghanistan,0,0,0,0
1/25/20,Afghanistan,0,0,0,0
1/26/20,Afghanistan,0,0,0,0
1/27/20,Afghanistan,0,0,0,0
1/28/20,Afghanistan,0,0,0,0
1/29/20,Afghanistan,0,0,0,0
1/30/20,Afghanistan,0,0,0,0
1/31/20,Afghanistan,0,0,0,0
2/1/20,Afghanistan,0,0,0,0
2/2/20,Afghanistan,0,0,0,0
2/3/20,Afghanistan,0,0,0,0
2/4/20,Afghanistan,0,0,0,0
2/5/20,Afghanistan,0,0,0,0
2/6/20,Afghanistan,0,0,0,0
2/7/20,Afghanistan,0,0,0,0
2/8/20,Afghanistan,0,0,0,0
2/9/20,Afghanistan,0,0,0,0
2/10/20,Afghanistan,0,0,0,0
2/11/20,Afghanistan,0,0,0,0
2/12/20,Afghanistan,0,0,0,0
2/13/20,Afghanistan,0,0,0,0
2/14/20,Afghanistan,0,0,0,0
2/15/20,Afghanistan,0,0,0,0
2/16/20,Afghanistan,0,0,0,0
2/17/20,Afghanistan,0,0,0,0
2/18/20,Afghanistan,0,0,0,0
2/19/20,Afghanistan,0,0,0,0
2/20/20,Afghanistan,0,0,0,0
2/21/20,Afghanistan,0,0,0,0
2/22/20,Afghanistan,0,0,0,0
2/23/20,Afghanistan,0,0,0,0
2/24/20,Afghanistan,0,0,0,0
2/25/20,Afghanistan,1,0,1,0
2/26/20,Afghanistan,0,0,1,0
2/27/20,Afghanistan,0,0,1,0
2/28/20,Afghanistan,0,0,1,0
2/29/20,Afghanistan,0,0,1,0
3/1/20,Afghanistan,0,0,1,0
3/2/20,Afghanistan,0,0,1,0
3/8/20,Afghanistan,3,0,4,0
3/11/20,Afghanistan,3,0,7,0
3/15/20,Afghanistan,3,0,10,0
3/16/20,Afghanistan,6,0,16,0
3/17/20,Afghanistan,5,0,21,0
3/18/20,Afghanistan,1,0,22,0
3/19/20,Afghanistan,0,0,22,0
3/20/20,Afghanistan,0,0,22,0
3/21/20,Afghanistan,2,0,24,0
3/22/20,Afghanistan,0,0,24,0
3/23/20,Afghanistan,10,0,34,0
3/24/20,Afghanistan,6,1,40,1
3/25/20,Afghanistan,2,0,42,1
3/9/20,Albania,2,0,2,0
3/10/20,Albania,4,0,6,0
3/11/20,Albania,4,0,10,0
3/12/20,Albania,1,1,11,1
3/13/20,Albania,12,0,23,1
3/14/20,Albania,10,0,33,1
3/15/20,Albania,5,0,38,1
3/16/20,Albania,4,0,42,1
3/17/20,Albania,9,0,51,1
3/18/20,Albania,4,0,55,1
3/19/20,Albania,4,1,59,2
3/20/20,Albania,11,0,70,2
3/21/20,Albania,0,0,70,2
3/22/20,Albania,6,0,76,2
3/23/20,Albania,13,0,89,2
3/24/20,Albania,11,2,100,4
3/25/20,Albania,23,1,123,5
12/31/19,Algeria,0,0,0,0
1/1/20,Algeria,0,0,0,0
1/2/20,Algeria,0,0,0,0
1/3/20,Algeria,0,0,0,0
1/4/20,Algeria,0,0,0,0
1/5/20,Algeria,0,0,0,0
1/6/20,Algeria,0,0,0,0
1/7/20,Algeria,0,0,0,0
1/8/20,Algeria,0,0,0,0
1/9/20,Algeria,0,0,0,0
1/10/20,Algeria,0,0,0,0
1/11/20,Algeria,0,0,0,0
1/12/20,Algeria,0,0,0,0
1/13/20,Algeria,0,0,0,0
1/14/20,Algeria,0,0,0,0
1/15/20,Algeria,0,0,0,0
1/16/20,Algeria,0,0,0,0
1/17/20,Algeria,0,0,0,0
1/18/20,Algeria,0,0,0,0
1/19/20,Algeria,0,0,0,0
1/20/20,Algeria,0,0,0,0
1/21/20,Algeria,0,0,0,0
1/22/20,Algeria,0,0,0,0
1/23/20,Algeria,0,0,0,0
1/24/20,Algeria,0,0,0,0
1/25/20,Algeria,0,0,0,0
1/26/20,Algeria,0,0,0,0
1/27/20,Algeria,0,0,0,0
1/28/20,Algeria,0,0,0,0
1/29/20,Algeria,0,0,0,0
1/30/20,Algeria,0,0,0,0
1/31/20,Algeria,0,0,0,0
2/1/20,Algeria,0,0,0,0
2/2/20,Algeria,0,0,0,0
2/3/20,Algeria,0,0,0,0
2/4/20,Algeria,0,0,0,0
2/5/20,Algeria,0,0,0,0
2/6/20,Algeria,0,0,0,0
2/7/20,Algeria,0,0,0,0
2/8/20,Algeria,0,0,0,0
2/9/20,Algeria,0,0,0,0
2/10/20,Algeria,0,0,0,0
2/11/20,Algeria,0,0,0,0
2/12/20,Algeria,0,0,0,0
2/13/20,Algeria,0,0,0,0
2/14/20,Algeria,0,0,0,0
2/15/20,Algeria,0,0,0,0
2/16/20,Algeria,0,0,0,0
2/17/20,Algeria,0,0,0,0
2/18/20,Algeria,0,0,0,0
2/19/20,Algeria,0,0,0,0
2/20/20,Algeria,0,0,0,0
2/21/20,Algeria,0,0,0,0
2/22/20,Algeria,0,0,0,0
2/23/20,Algeria,0,0,0,0
2/24/20,Algeria,0,0,0,0
2/25/20,Algeria,0,0,0,0
2/26/20,Algeria,1,0,1,0
2/27/20,Algeria,0,0,1,0
2/28/20,Algeria,0,0,1,0
2/29/20,Algeria,0,0,1,0
3/1/20,Algeria,0,0,1,0
3/2/20,Algeria,2,0,3,0
3/4/20,Algeria,2,0,5,0
3/5/20,Algeria,7,0,12,0
3/6/20,Algeria,5,0,17,0
3/9/20,Algeria,3,0,20,0
3/12/20,Algeria,0,0,20,0
3/13/20,Algeria,4,1,24,1
3/14/20,Algeria,2,1,26,2
3/15/20,Algeria,11,0,37,2
3/16/20,Algeria,11,2,48,4
3/17/20,Algeria,12,0,60,4
3/18/20,Algeria,0,1,60,5
3/19/20,Algeria,13,1,73,6
3/20/20,Algeria,9,1,82,7
3/21/20,Algeria,12,3,94,10
3/22/20,Algeria,0,0,94,10
3/23/20,Algeria,8,5,102,15
3/24/20,Algeria,87,2,189,17
3/25/20,Algeria,42,0,231,17
3/3/20,Andorra,1,0,1,0
3/14/20,Andorra,1,0,2,0
3/16/20,Andorra,3,0,5,0
3/17/20,Andorra,9,0,14,0
3/18/20,Andorra,0,0,14,0
3/19/20,Andorra,39,0,53,0
3/20/20,Andorra,22,0,75,0
3/21/20,Andorra,0,0,75,0
3/22/20,Andorra,13,0,88,0
3/23/20,Andorra,25,0,113,0
3/24/20,Andorra,20,0,133,0
3/25/20,Andorra,31,0,164,0
3/22/20,Angola,2,0,2,0
3/23/20,Angola,0,0,2,0
3/24/20,Angola,0,0,2,0
3/25/20,Angola,0,0,2,0
3/15/20,Antigua and Barbuda,1,0,1,0
3/21/20,Antigua and Barbuda,0,0,1,0
3/22/20,Antigua and Barbuda,0,0,1,0
3/23/20,Antigua and Barbuda,0,0,1,0
3/24/20,Antigua and Barbuda,0,0,1,0
3/25/20,Antigua and Barbuda,2,0,3,0
3/4/20,Argentina,1,0,1,0
3/6/20,Argentina,1,0,2,0
3/7/20,Argentina,6,0,8,0
3/8/20,Argentina,1,1,9,1
3/9/20,Argentina,3,0,12,1
3/11/20,Argentina,7,0,19,1
3/13/20,Argentina,12,0,31,1
3/14/20,Argentina,3,1,34,2
3/15/20,Argentina,11,0,45,2
3/16/20,Argentina,11,0,56,2
3/17/20,Argentina,9,0,65,2
3/18/20,Argentina,14,0,79,2
3/19/20,Argentina,18,0,97,2
3/20/20,Argentina,31,1,128,3
3/21/20,Argentina,30,0,158,3
3/22/20,Argentina,67,1,225,4
3/23/20,Argentina,41,0,266,4
3/24/20,Argentina,35,0,301,4
3/25/20,Argentina,86,2,387,6
12/31/19,Armenia,0,0,0,0
1/1/20,Armenia,0,0,0,0
1/2/20,Armenia,0,0,0,0
1/3/20,Armenia,0,0,0,0
1/4/20,Armenia,0,0,0,0
1/5/20,Armenia,0,0,0,0
1/6/20,Armenia,0,0,0,0
1/7/20,Armenia,0,0,0,0
1/8/20,Armenia,0,0,0,0
1/9/20,Armenia,0,0,0,0
1/10/20,Armenia,0,0,0,0
1/11/20,Armenia,0,0,0,0
1/12/20,Armenia,0,0,0,0
1/13/20,Armenia,0,0,0,0
1/14/20,Armenia,0,0,0,0
1/15/20,Armenia,0,0,0,0
1/16/20,Armenia,0,0,0,0
1/17/20,Armenia,0,0,0,0
1/18/20,Armenia,0,0,0,0
1/19/20,Armenia,0,0,0,0
1/20/20,Armenia,0,0,0,0
1/21/20,Armenia,0,0,0,0
1/22/20,Armenia,0,0,0,0
1/23/20,Armenia,0,0,0,0
1/24/20,Armenia,0,0,0,0
1/25/20,Armenia,0,0,0,0
1/26/20,Armenia,0,0,0,0
1/27/20,Armenia,0,0,0,0
1/28/20,Armenia,0,0,0,0
1/29/20,Armenia,0,0,0,0
1/30/20,Armenia,0,0,0,0
1/31/20,Armenia,0,0,0,0
2/1/20,Armenia,0,0,0,0
2/2/20,Armenia,0,0,0,0
2/3/20,Armenia,0,0,0,0
2/4/20,Armenia,0,0,0,0
2/5/20,Armenia,0,0,0,0
2/6/20,Armenia,0,0,0,0
2/7/20,Armenia,0,0,0,0
2/8/20,Armenia,0,0,0,0
2/9/20,Armenia,0,0,0,0
2/10/20,Armenia,0,0,0,0
2/11/20,Armenia,0,0,0,0
2/12/20,Armenia,0,0,0,0
2/13/20,Armenia,0,0,0,0
2/14/20,Armenia,0,0,0,0
2/15/20,Armenia,0,0,0,0
2/16/20,Armenia,0,0,0,0
2/17/20,Armenia,0,0,0,0
2/18/20,Armenia,0,0,0,0
2/19/20,Armenia,0,0,0,0
2/20/20,Armenia,0,0,0,0
2/21/20,Armenia,0,0,0,0
2/22/20,Armenia,0,0,0,0
2/23/20,Armenia,0,0,0,0
2/24/20,Armenia,0,0,0,0
2/25/20,Armenia,0,0,0,0
2/26/20,Armenia,0,0,0,0
2/27/20,Armenia,0,0,0,0
2/28/20,Armenia,0,0,0,0
2/29/20,Armenia,0,0,0,0
3/1/20,Armenia,1,0,1,0
3/2/20,Armenia,0,0,1,0
3/12/20,Armenia,3,0,4,0
3/13/20,Armenia,2,0,6,0
3/14/20,Armenia,7,0,13,0
3/15/20,Armenia,7,0,20,0
3/16/20,Armenia,10,0,30,0
3/17/20,Armenia,22,0,52,0
3/18/20,Armenia,26,0,78,0
3/19/20,Armenia,37,0,115,0
3/20/20,Armenia,7,0,122,0
3/21/20,Armenia,14,0,136,0
3/22/20,Armenia,24,0,160,0
3/23/20,Armenia,30,0,190,0
3/24/20,Armenia,4,0,194,0
3/25/20,Armenia,71,0,265,0
12/31/19,Australia,0,0,0,0
1/1/20,Australia,0,0,0,0
1/2/20,Australia,0,0,0,0
1/3/20,Australia,0,0,0,0
1/4/20,Australia,0,0,0,0
1/5/20,Australia,0,0,0,0
1/6/20,Australia,0,0,0,0
1/7/20,Australia,0,0,0,0
1/8/20,Australia,0,0,0,0
1/9/20,Australia,0,0,0,0
1/10/20,Australia,0,0,0,0
1/11/20,Australia,0,0,0,0
1/12/20,Australia,0,0,0,0
1/13/20,Australia,0,0,0,0
1/14/20,Australia,0,0,0,0
1/15/20,Australia,0,0,0,0
1/16/20,Australia,0,0,0,0
1/17/20,Australia,0,0,0,0
1/18/20,Australia,0,0,0,0
1/19/20,Australia,0,0,0,0
1/20/20,Australia,0,0,0,0
1/21/20,Australia,0,0,0,0
1/22/20,Australia,0,0,0,0
1/23/20,Australia,0,0,0,0
1/24/20,Australia,0,0,0,0
1/25/20,Australia,1,0,1,0
1/26/20,Australia,3,0,4,0
1/27/20,Australia,0,0,4,0
1/28/20,Australia,0,0,4,0
1/29/20,Australia,0,0,4,0
1/30/20,Australia,2,0,6,0
1/31/20,Australia,1,0,7,0
2/1/20,Australia,2,0,9,0
2/2/20,Australia,2,0,11,0
2/3/20,Australia,0,0,11,0
2/4/20,Australia,0,0,11,0
2/5/20,Australia,1,0,12,0
2/6/20,Australia,1,0,13,0
2/7/20,Australia,1,0,14,0
2/8/20,Australia,0,0,14,0
2/9/20,Australia,0,0,14,0
2/10/20,Australia,0,0,14,0
2/11/20,Australia,0,0,14,0
2/12/20,Australia,0,0,14,0
2/13/20,Australia,0,0,14,0
2/14/20,Australia,1,0,15,0
2/15/20,Australia,0,0,15,0
2/16/20,Australia,0,0,15,0
2/17/20,Australia,0,0,15,0
2/18/20,Australia,0,0,15,0
2/19/20,Australia,0,0,15,0
2/20/20,Australia,0,0,15,0
2/21/20,Australia,2,0,17,0
2/22/20,Australia,4,0,21,0
2/23/20,Australia,1,0,22,0
2/24/20,Australia,0,0,22,0
2/25/20,Australia,0,0,22,0
2/26/20,Australia,0,0,22,0
2/27/20,Australia,1,0,23,0
2/28/20,Australia,0,0,23,0
2/29/20,Australia,2,0,25,0
3/1/20,Australia,1,1,26,1
3/2/20,Australia,3,0,29,1
3/3/20,Australia,4,0,33,1
3/4/20,Australia,8,0,41,1
3/5/20,Australia,11,1,52,2
3/6/20,Australia,7,0,59,2
3/7/20,Australia,4,0,63,2
3/8/20,Australia,11,1,74,3
3/9/20,Australia,6,0,80,3
3/10/20,Australia,20,0,100,3
3/11/20,Australia,12,0,112,3
3/12/20,Australia,14,0,126,3
3/13/20,Australia,30,0,156,3
3/14/20,Australia,41,0,197,3
3/15/20,Australia,52,0,249,3
3/16/20,Australia,49,2,298,5
3/17/20,Australia,77,0,375,5
3/18/20,Australia,79,0,454,5
3/19/20,Australia,111,1,565,6
3/20/20,Australia,144,0,709,6
3/21/20,Australia,165,1,874,7
3/22/20,Australia,224,0,1098,7
3/23/20,Australia,611,0,1709,7
3/24/20,Australia,114,0,1823,7
3/25/20,Australia,600,1,2423,8
12/31/19,Austria,0,0,0,0
1/1/20,Austria,0,0,0,0
1/2/20,Austria,0,0,0,0
1/3/20,Austria,0,0,0,0
1/4/20,Austria,0,0,0,0
1/5/20,Austria,0,0,0,0
1/6/20,Austria,0,0,0,0
1/7/20,Austria,0,0,0,0
1/8/20,Austria,0,0,0,0
1/9/20,Austria,0,0,0,0
1/10/20,Austria,0,0,0,0
1/11/20,Austria,0,0,0,0
1/12/20,Austria,0,0,0,0
1/13/20,Austria,0,0,0,0
1/14/20,Austria,0,0,0,0
1/15/20,Austria,0,0,0,0
1/16/20,Austria,0,0,0,0
1/17/20,Austria,0,0,0,0
1/18/20,Austria,0,0,0,0
1/19/20,Austria,0,0,0,0
1/20/20,Austria,0,0,0,0
1/21/20,Austria,0,0,0,0
1/22/20,Austria,0,0,0,0
1/23/20,Austria,0,0,0,0
1/24/20,Austria,0,0,0,0
1/25/20,Austria,0,0,0,0
1/26/20,Austria,0,0,0,0
1/27/20,Austria,0,0,0,0
1/28/20,Austria,0,0,0,0
1/29/20,Austria,0,0,0,0
1/30/20,Austria,0,0,0,0
1/31/20,Austria,0,0,0,0
2/1/20,Austria,0,0,0,0
2/2/20,Austria,0,0,0,0
2/3/20,Austria,0,0,0,0
2/4/20,Austria,0,0,0,0
2/5/20,Austria,0,0,0,0
2/6/20,Austria,0,0,0,0
2/7/20,Austria,0,0,0,0
2/8/20,Austria,0,0,0,0
2/9/20,Austria,0,0,0,0
